               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12566,            0.061214,             0.11206,          0.00025221,          0.00024814,          0.00012816,          1.2816e-05,             0.12003,            0.038359,             0.10936,              0.0919,              0.0009,              0.0009
                   1,             0.11867,            0.065456,             0.10712,           0.0088427,            0.026746,           0.0061967,           0.0016619,             0.11147,            0.042633,             0.10279,            0.082862,           0.0018624,           0.0018624
                   2,             0.11058,            0.070466,             0.10045,           0.0084503,            0.052636,           0.0064155,           0.0015109,             0.10581,            0.042639,            0.092669,            0.073785,           0.0027852,           0.0027852
                   3,             0.10452,            0.069263,            0.089594,             0.63927,            0.026641,            0.015461,           0.0040506,            0.099545,            0.043429,            0.080805,            0.064668,           0.0036683,           0.0036683
                   4,            0.097652,            0.066387,            0.078557,              0.1113,            0.069901,            0.027306,           0.0091634,             0.09534,            0.073852,            0.076323,            0.055512,           0.0045119,           0.0045119
                   5,            0.092071,            0.063925,            0.071041,             0.36455,            0.035693,            0.021346,            0.007325,            0.097749,            0.067436,            0.069962,            0.046316,           0.0053159,           0.0053159
                   6,             0.09144,            0.064798,            0.066365,             0.46066,            0.063583,             0.05223,            0.017462,            0.091072,            0.053391,            0.064425,             0.03708,           0.0060803,           0.0060803
                   7,            0.088778,            0.065617,            0.060033,             0.34049,            0.060143,            0.036759,            0.012299,            0.096066,            0.051297,            0.060401,            0.027805,           0.0068051,           0.0068051
                   8,            0.090512,            0.065207,            0.057836,             0.45266,            0.064365,            0.044056,            0.010661,            0.097401,            0.047771,            0.056925,             0.01849,           0.0074902,           0.0074902
                   9,            0.090103,            0.063695,            0.055806,             0.62408,            0.085654,             0.09264,            0.033075,            0.085837,            0.038773,              0.0528,           0.0091358,           0.0081358,           0.0081358
                  10,            0.087638,            0.066446,            0.053147,             0.61181,            0.077111,            0.079608,            0.028369,              0.0861,            0.041247,            0.050998,             0.00802,             0.00802,             0.00802
                  11,            0.084015,            0.063288,            0.050596,             0.58787,             0.11472,            0.070038,            0.025857,            0.088357,            0.039255,            0.049109,             0.00802,             0.00802,             0.00802
                  12,            0.081119,            0.064419,            0.050324,             0.77874,            0.081055,            0.068709,            0.023643,            0.076069,             0.04024,            0.048127,            0.007822,            0.007822,            0.007822
                  13,            0.078612,            0.064397,            0.049188,             0.77297,             0.12796,             0.10972,             0.03896,             0.06855,            0.038094,            0.045695,            0.007624,            0.007624,            0.007624
                  14,            0.074739,             0.06412,            0.047096,             0.80005,             0.13352,             0.13568,            0.054679,            0.063341,            0.038746,            0.044765,            0.007426,            0.007426,            0.007426
                  15,            0.069914,            0.063005,            0.046872,             0.85982,             0.10321,             0.10381,             0.03945,            0.070251,            0.037089,            0.043592,            0.007228,            0.007228,            0.007228
                  16,            0.071826,            0.063894,            0.046108,             0.85248,             0.13157,             0.12527,            0.050232,            0.069194,             0.03641,            0.042825,             0.00703,             0.00703,             0.00703
